round,timestamp,avg_time_ns,max_time_ns,min_time_ns,stdev_time_ns,suspicious_count
305,1762785760.1750596,62.3828125,650,50,39.43952851282233,2
306,1762785760.2265348,73.75,620,60,36.45034226149862,3
307,1762785760.2779918,63.1640625,890,50,53.40695076210476,2
308,1762785760.329585,77.8125,850,60,56.13621388911013,3
309,1762785760.3812017,91.4453125,1210,70,74.21656795037974,7
310,1762785760.4327636,66.17578125,1540,50,97.97632947116439,3
311,1762785760.484329,80.82421875,960,60,62.90693686128429,4
312,1762785760.5377042,61.9921875,770,50,45.84218386026599,4
313,1762785760.5892081,63.125,720,50,47.9664915719869,4
314,1762785760.6406827,73.16796875,590,60,34.952728713010295,4
315,1762785760.692111,61.17578125,590,50,35.33742613238498,4
316,1762785760.7435586,61.6796875,710,50,42.38838790189559,2
317,1762785760.79506,65.1171875,940,50,60.07826543718765,3
318,1762785760.8466372,75.7109375,950,60,56.15289385014007,2
319,1762785760.8982515,80.6640625,1310,60,85.47874657010406,5
320,1762785760.9497578,75.6640625,640,60,37.619723100741595,3
321,1762785761.0012603,105.2734375,11160,50,694.5123295659463,1
322,1762785761.052725,64.02734375,500,50,30.753211762366877,6
323,1762785761.1041553,60.625,500,50,29.285611805518585,4
324,1762785761.155625,73.44140625,590,60,34.89755995143107,7
325,1762785761.2071524,63.87109375,970,50,62.00773974757458,3
326,1762785761.2586577,75.3515625,880,60,51.949008157321074,2
327,1762785761.3101118,62.93359375,760,50,45.26600555815784,3
328,1762785761.361634,96.99609375,1210,60,78.48394355819589,8
329,1762785761.413265,81.05859375,1430,60,89.2494657773598,4
330,1762785761.464754,74.69140625,580,60,33.814176229698944,7
331,1762785761.5163648,76.0546875,800,60,47.795119710460554,4
332,1762785761.5678751,74.0625,590,60,34.943932683264904,5
333,1762785761.6193564,62.2734375,510,50,36.9546016861813,6
334,1762785761.6708493,75.1171875,580,60,34.184991797800485,7
335,1762785761.7223413,64.375,820,50,49.85075765939457,3
336,1762785761.7738092,73.16796875,590,60,34.63715433131839,5
337,1762785761.825391,62.1953125,780,50,50.882726926824624,3
338,1762785761.876851,67.890625,800,50,49.43845203094132,5
339,1762785761.9284089,75.984375,781,60,47.34412763552231,3
340,1762785761.9799728,76.2890625,570,60,42.17492096416226,7
341,1762785762.03143,62.9296875,930,50,56.23141032690663,3
342,1762785762.0829563,77.26953125,900,60,53.74859423036286,3
343,1762785762.134507,75.78515625,850,60,51.80102139933831,3
344,1762785762.1860614,76.8046875,590,60,42.85626841719959,7
345,1762785762.2375762,65.58984375,550,50,33.08349114954704,6
346,1762785762.2890506,74.21875,650,60,38.319797269102274,4
347,1762785762.3405132,64.0234375,770,50,48.62646174525497,5
348,1762785762.3922763,79.609375,910,60,59.10313144883969,3
349,1762785762.444081,78.671875,790,60,53.11284463014462,4
350,1762785762.4960103,86.640625,1100,60,86.6344797885651,5
351,1762785762.5500128,77.46875,810,60,49.697979996034796,4
352,1762785762.6017325,78.94921875,990,60,63.53625921221183,3
353,1762785762.6538074,76.09765625,850,60,50.022840218293304,2
354,1762785762.7055676,69.1875,710,50,63.834743751376664,6
355,1762785762.7573152,79.4609375,720,50,47.333096217646904,7
356,1762785762.8093164,100.703125,1690,60,125.8737842397039,8
357,1762785762.8608649,69.61328125,1060,50,64.36911678332775,4
358,1762785762.9124255,113.1640625,680,70,42.791657120490754,8
359,1762785762.9640045,67.1953125,1380,50,89.06283823465186,2
